buggy28.c,"int main() { int arr[5] = {1,2,3,4,5}; printf(""%d"", arr[10]); return 0; }",fixed28.c,"int main() { int arr[5] = {1,2,3,4,5}; printf(""%d"", arr[4]); return 0; }"
buggy29.c,"int main() { int *ptr = NULL; printf(""%d"", *ptr); return 0; }",fixed29.c,"int main() { int value = 10; int *ptr = &value; printf(""%d"", *ptr); return 0; }"
buggy3.c,"int main() { int arr[5] = {1,2,3,4,5}; printf(""%d"", arr[10]); return 0; }",fixed3.c,"int main() { int arr[5] = {1,2,3,4,5}; printf(""%d"", arr[4]); return 0; }"
buggy30.c,"int main() { int x = 10 printf(""%d"", x); return 0; }",fixed30.c,"int main() { int x = 10; printf(""%d"", x); return 0; }"
buggy4.c,"int main() { int *ptr = NULL; printf(""%d"", *ptr); return 0; }",fixed4.c,"int main() { int value = 10; int *ptr = &value; printf(""%d"", *ptr); return 0; }"
buggy5.c,"int main() { int x = 10 printf(""%d"", x); return 0; }",fixed5.c,"int main() { int x = 10; printf(""%d"", x); return 0; }"
buggy6.c,"int main() { for (int i = 0; i <= 5; i--) { printf(""%d "", i); } return 0; }",fixed6.c,"int main() { for (int i = 0; i <= 5; i++) { printf(""%d "", i); } return 0; }"
buggy7.c,"#include <stdlib.h>
int main() { int *ptr = (int *)malloc(10 * sizeof(int)); return 0; }",fixed7.c,"#include <stdlib.h>
int main() { int *ptr = (int *)malloc(10 * sizeof(int)); free(ptr); return 0; }"
buggy8.c,"int main() { int arr[5] = {1,2,3,4,5}; printf(""%d"", arr[10]); return 0; }",fixed8.c,"int main() { int arr[5] = {1,2,3,4,5}; printf(""%d"", arr[4]); return 0; }"
buggy9.c,"int main() { int *ptr = NULL; printf(""%d"", *ptr); return 0; }",fixed9.c,"int main() { int value = 10; int *ptr = &value; printf(""%d"", *ptr); return 0; }"
